TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均距上次下单天数
0-12个月,3734,853,0.22844134975897162,2.602838778789502,161.15962238885913,4.030798071772898
13-24个月,1467,95,0.06475800954328562,3.704839809134288,204.91599182004092,5.316973415132924
25-48个月,425,0,0.0,3.56,222.30204705882352,5.263529411764706
48个月以上,4,0,0.0,2.0,226.375,4.5
